,시간,03-01 (금)
0,최대,176.82
1,최소,-73.88
2,평균,97.64
3,00시00분,170.95
4,00시15분,170.42
5,00시30분,107.39
6,00시45분,107.39
7,01시00분,95.3
8,01시15분,95.3
9,01시30분,95.3
10,01시45분,95.3
11,02시00분,87.89
12,02시15분,87.89
13,02시30분,87.89
14,02시45분,87.89
15,03시00분,86.5
16,03시15분,86.5
17,03시30분,86.5
18,03시45분,86.5
19,04시00분,88.78
20,04시15분,88.78
21,04시30분,88.78
22,04시45분,88.78
23,05시00분,100.21
24,05시15분,100.21
25,05시30분,100.21
26,05시45분,100.21
27,06시00분,111.4
28,06시15분,111.4
29,06시30분,111.4
30,06시45분,111.4
31,07시00분,111.4
32,07시15분,111.4
33,07시30분,111.4
34,07시45분,111.4
35,08시00분,111.67
36,08시15분,111.67
37,08시30분,111.67
38,08시45분,111.67
39,09시00분,109.57
40,09시15분,109.57
41,09시30분,109.57
42,09시45분,109.57
43,10시00분,0.0
44,10시15분,-10.0
45,10시30분,-50.0
46,10시45분,-73.88
47,11시00분,-73.88
48,11시15분,-73.88
49,11시30분,-50.0
50,11시45분,-73.88
51,12시00분,-10.0
52,12시15분,-10.0
53,12시30분,0.0
54,12시45분,0.0
55,13시00분,95.91
56,13시15분,95.91
57,13시30분,95.91
58,13시45분,95.91
59,14시00분,95.91
60,14시15분,95.91
61,14시30분,95.91
62,14시45분,95.91
63,15시00분,98.25
64,15시15분,98.25
65,15시30분,98.25
66,15시45분,98.25
67,16시00분,100.21
68,16시15분,100.21
69,16시30분,100.21
70,16시45분,100.21
71,17시00분,128.34
72,17시15분,128.34
73,17시30분,128.34
74,17시45분,128.34
75,18시00분,109.57
76,18시15분,109.57
77,18시30분,109.57
78,18시45분,174.45
79,19시00분,109.83
80,19시15분,109.83
81,19시30분,109.83
82,19시45분,109.83
83,20시00분,176.75
84,20시15분,175.93
85,20시30분,175.43
86,20시45분,174.59
87,21시00분,176.33
88,21시15분,176.29
89,21시30분,173.78
90,21시45분,110.35
91,22시00분,174.7
92,22시15분,112.19
93,22시30분,174.7
94,22시45분,173.94
95,23시00분,176.82
96,23시15분,175.1
97,23시30분,175.48
98,23시45분,112.19
