,시간,03-04 (월)
0,최대,325.55
1,최소,-19.0
2,평균,145.83
3,00시00분,172.09
4,00시15분,168.4
5,00시30분,167.37
6,00시45분,165.08
7,01시00분,159.25
8,01시15분,162.24
9,01시30분,86.82
10,01시45분,86.82
11,02시00분,80.97
12,02시15분,80.97
13,02시30분,80.97
14,02시45분,80.97
15,03시00분,323.67
16,03시15분,325.55
17,03시30분,80.97
18,03시45분,80.97
19,04시00분,80.97
20,04시15분,80.97
21,04시30분,80.97
22,04시45분,80.97
23,05시00분,81.81
24,05시15분,163.78
25,05시30분,164.5
26,05시45분,164.72
27,06시00분,167.94
28,06시15분,169.05
29,06시30분,169.23
30,06시45분,172.59
31,07시00분,172.76
32,07시15분,172.77
33,07시30분,172.76
34,07시45분,170.66
35,08시00분,173.82
36,08시15분,173.82
37,08시30분,173.82
38,08시45분,173.82
39,09시00분,175.21
40,09시15분,175.21
41,09시30분,175.21
42,09시45분,175.21
43,10시00분,165.36
44,10시15분,160.61
45,10시30분,160.61
46,10시45분,160.61
47,11시00분,154.06
48,11시15분,154.06
49,11시30분,154.06
50,11시45분,154.06
51,12시00분,146.22
52,12시15분,146.22
53,12시30분,0.0
54,12시45분,-19.0
55,13시00분,0.0
56,13시15분,150.25
57,13시30분,150.25
58,13시45분,150.25
59,14시00분,149.63
60,14시15분,149.63
61,14시30분,149.63
62,14시45분,149.63
63,15시00분,149.63
64,15시15분,149.63
65,15시30분,149.63
66,15시45분,149.63
67,16시00분,168.89
68,16시15분,168.89
69,16시30분,168.7
70,16시45분,169.0
71,17시00분,173.9
72,17시15분,173.9
73,17시30분,173.9
74,17시45분,174.67
75,18시00분,174.76
76,18시15분,174.76
77,18시30분,174.76
78,18시45분,174.76
79,19시00분,174.76
80,19시15분,174.76
81,19시30분,174.76
82,19시45분,174.76
83,20시00분,174.67
84,20시15분,174.67
85,20시30분,174.67
86,20시45분,174.67
87,21시00분,131.05
88,21시15분,131.05
89,21시30분,131.05
90,21시45분,131.05
91,22시00분,107.12
92,22시15분,107.12
93,22시30분,107.12
94,22시45분,107.12
95,23시00분,107.12
96,23시15분,107.12
97,23시30분,107.12
98,23시45분,107.12
