,시간,03-05 (화)
0,최대,255.56
1,최소,94.8
2,평균,145.13
3,00시00분,100.13
4,00시15분,100.13
5,00시30분,255.56
6,00시45분,250.03
7,01시00분,94.8
8,01시15분,94.8
9,01시30분,94.8
10,01시45분,94.8
11,02시00분,94.8
12,02시15분,94.8
13,02시30분,94.8
14,02시45분,94.8
15,03시00분,94.8
16,03시15분,94.8
17,03시30분,94.8
18,03시45분,94.8
19,04시00분,94.8
20,04시15분,94.8
21,04시30분,94.8
22,04시45분,94.8
23,05시00분,94.8
24,05시15분,94.8
25,05시30분,94.8
26,05시45분,94.8
27,06시00분,105.85
28,06시15분,105.85
29,06시30분,105.85
30,06시45분,105.85
31,07시00분,107.38
32,07시15분,165.39
33,07시30분,107.38
34,07시45분,165.63
35,08시00분,164.94
36,08시15분,164.89
37,08시30분,164.84
38,08시45분,167.73
39,09시00분,177.25
40,09시15분,177.25
41,09시30분,177.25
42,09시45분,177.25
43,10시00분,166.7
44,10시15분,166.93
45,10시30분,166.85
46,10시45분,165.11
47,11시00분,165.16
48,11시15분,165.11
49,11시30분,165.11
50,11시45분,165.11
51,12시00분,162.44
52,12시15분,162.44
53,12시30분,162.44
54,12시45분,162.44
55,13시00분,165.11
56,13시15분,165.11
57,13시30분,165.11
58,13시45분,168.76
59,14시00분,166.08
60,14시15분,166.11
61,14시30분,166.11
62,14시45분,157.4
63,15시00분,162.57
64,15시15분,162.57
65,15시30분,162.57
66,15시45분,162.57
67,16시00분,157.46
68,16시15분,157.41
69,16시30분,157.36
70,16시45분,157.31
71,17시00분,157.27
72,17시15분,157.22
73,17시30분,153.8
74,17시45분,170.17
75,18시00분,170.17
76,18시15분,170.17
77,18시30분,170.17
78,18시45분,170.17
79,19시00분,170.17
80,19시15분,170.6
81,19시30분,170.53
82,19시45분,170.38
83,20시00분,170.56
84,20시15분,170.56
85,20시30분,170.56
86,20시45분,170.56
87,21시00분,170.56
88,21시15분,170.56
89,21시30분,170.56
90,21시45분,170.56
91,22시00분,131.23
92,22시15분,131.23
93,22시30분,131.23
94,22시45분,131.23
95,23시00분,131.19
96,23시15분,131.19
97,23시30분,131.19
98,23시45분,131.19
