,시간,03-07 (목)
0,최대,179.82
1,최소,-77.94
2,평균,96.91
3,00시00분,107.31
4,00시15분,107.31
5,00시30분,107.31
6,00시45분,107.31
7,01시00분,94.48
8,01시15분,94.48
9,01시30분,94.48
10,01시45분,94.48
11,02시00분,90.83
12,02시15분,90.83
13,02시30분,90.83
14,02시45분,90.83
15,03시00분,90.83
16,03시15분,90.83
17,03시30분,90.83
18,03시45분,90.83
19,04시00분,90.83
20,04시15분,90.83
21,04시30분,90.83
22,04시45분,90.83
23,05시00분,95.0
24,05시15분,95.0
25,05시30분,0.0
26,05시45분,0.0
27,06시00분,108.17
28,06시15분,0.0
29,06시30분,0.0
30,06시45분,108.17
31,07시00분,108.69
32,07시15분,108.69
33,07시30분,108.69
34,07시45분,108.69
35,08시00분,179.06
36,08시15분,178.65
37,08시30분,178.53
38,08시45분,178.73
39,09시00분,0.0
40,09시15분,179.82
41,09시30분,179.82
42,09시45분,179.82
43,10시00분,0.0
44,10시15분,-1.0
45,10시30분,-19.0
46,10시45분,-77.94
47,11시00분,-77.94
48,11시15분,-19.0
49,11시30분,-8.0
50,11시45분,-2.0
51,12시00분,-19.0
52,12시15분,-1.0
53,12시30분,0.0
54,12시45분,154.48
55,13시00분,159.69
56,13시15분,159.69
57,13시30분,159.69
58,13시45분,159.69
59,14시00분,154.67
60,14시15분,154.67
61,14시30분,154.67
62,14시45분,154.67
63,15시00분,145.83
64,15시15분,145.83
65,15시30분,145.83
66,15시45분,145.83
67,16시00분,145.83
68,16시15분,145.83
69,16시30분,0.0
70,16시45분,169.83
71,17시00분,170.0
72,17시15분,170.0
73,17시30분,170.0
74,17시45분,170.0
75,18시00분,170.0
76,18시15분,
77,18시30분,
78,18시45분,
79,19시00분,
80,19시15분,
81,19시30분,
82,19시45분,
83,20시00분,
84,20시15분,
85,20시30분,
86,20시45분,
87,21시00분,
88,21시15분,
89,21시30분,
90,21시45분,
91,22시00분,
92,22시15분,
93,22시30분,
94,22시45분,
95,23시00분,
96,23시15분,
97,23시30분,
98,23시45분,
