,시간,03-13 (수)
0,최대,175.87
1,최소,-19.0
2,평균,142.75
3,00시00분,146.27
4,00시15분,146.27
5,00시30분,146.27
6,00시45분,146.27
7,01시00분,107.91
8,01시15분,107.91
9,01시30분,107.91
10,01시45분,107.91
11,02시00분,107.91
12,02시15분,107.91
13,02시30분,107.91
14,02시45분,107.91
15,03시00분,108.17
16,03시15분,108.17
17,03시30분,108.17
18,03시45분,108.17
19,04시00분,108.17
20,04시15분,108.17
21,04시30분,108.17
22,04시45분,108.17
23,05시00분,108.69
24,05시15분,108.69
25,05시30분,108.69
26,05시45분,108.69
27,06시00분,150.12
28,06시15분,150.12
29,06시30분,150.12
30,06시45분,150.12
31,07시00분,156.34
32,07시15분,156.34
33,07시30분,156.34
34,07시45분,156.34
35,08시00분,170.87
36,08시15분,170.81
37,08시30분,170.95
38,08시45분,171.22
39,09시00분,163.0
40,09시15분,175.87
41,09시30분,0.0
42,09시45분,-19.0
43,10시00분,167.07
44,10시15분,167.07
45,10시30분,167.07
46,10시45분,167.07
47,11시00분,167.8
48,11시15분,167.8
49,11시30분,167.8
50,11시45분,167.8
51,12시00분,156.34
52,12시15분,156.34
53,12시30분,156.34
54,12시45분,156.34
55,13시00분,156.34
56,13시15분,156.34
57,13시30분,156.34
58,13시45분,156.34
59,14시00분,156.34
60,14시15분,156.34
61,14시30분,156.34
62,14시45분,156.34
63,15시00분,156.34
64,15시15분,156.34
65,15시30분,156.34
66,15시45분,156.34
67,16시00분,157.7
68,16시15분,0.0
69,16시30분,165.77
70,16시45분,165.73
71,17시00분,165.22
72,17시15분,165.22
73,17시30분,166.6
74,17시45분,169.04
75,18시00분,168.03
76,18시15분,168.03
77,18시30분,168.03
78,18시45분,168.03
79,19시00분,168.03
80,19시15분,168.03
81,19시30분,168.03
82,19시45분,168.03
83,20시00분,168.03
84,20시15분,168.03
85,20시30분,168.03
86,20시45분,168.03
87,21시00분,
88,21시15분,
89,21시30분,
90,21시45분,
91,22시00분,
92,22시15분,
93,22시30분,
94,22시45분,
95,23시00분,
96,23시15분,
97,23시30분,
98,23시45분,
