,시간,03-16 (토)
0,최대,171.27
1,최소,-77.94
2,평균,124.82
3,00시00분,166.38
4,00시15분,166.38
5,00시30분,166.38
6,00시45분,167.75
7,01시00분,169.34
8,01시15분,169.34
9,01시30분,169.34
10,01시45분,169.04
11,02시00분,169.04
12,02시15분,169.04
13,02시30분,169.04
14,02시45분,169.04
15,03시00분,165.8
16,03시15분,165.43
17,03시30분,165.43
18,03시45분,166.19
19,04시00분,167.52
20,04시15분,167.47
21,04시30분,167.42
22,04시45분,166.28
23,05시00분,166.28
24,05시15분,166.25
25,05시30분,166.27
26,05시45분,166.38
27,06시00분,167.7
28,06시15분,167.71
29,06시30분,167.7
30,06시45분,167.33
31,07시00분,166.22
32,07시15분,166.21
33,07시30분,166.21
34,07시45분,166.15
35,08시00분,117.62
36,08시15분,117.62
37,08시30분,117.62
38,08시45분,117.62
39,09시00분,106.25
40,09시15분,0.0
41,09시30분,-77.94
42,09시45분,-77.94
43,10시00분,0.0
44,10시15분,99.48
45,10시30분,99.48
46,10시45분,0.0
47,11시00분,0.0
48,11시15분,0.0
49,11시30분,0.0
50,11시45분,0.0
51,12시00분,-34.64
52,12시15분,-25.98
53,12시30분,-19.0
54,12시45분,-51.96
55,13시00분,0.0
56,13시15분,0.0
57,13시30분,95.65
58,13시45분,95.65
59,14시00분,104.91
60,14시15분,104.91
61,14시30분,104.91
62,14시45분,104.91
63,15시00분,99.48
64,15시15분,99.48
65,15시30분,99.48
66,15시45분,99.48
67,16시00분,104.91
68,16시15분,104.91
69,16시30분,104.91
70,16시45분,104.91
71,17시00분,163.69
72,17시15분,163.69
73,17시30분,163.69
74,17시45분,163.69
75,18시00분,169.64
76,18시15분,169.64
77,18시30분,169.64
78,18시45분,169.64
79,19시00분,169.85
80,19시15분,169.85
81,19시30분,169.85
82,19시45분,169.85
83,20시00분,169.85
84,20시15분,169.85
85,20시30분,169.85
86,20시45분,169.85
87,21시00분,169.85
88,21시15분,169.85
89,21시30분,169.85
90,21시45분,169.85
91,22시00분,169.85
92,22시15분,171.27
93,22시30분,171.27
94,22시45분,165.92
95,23시00분,165.92
96,23시15분,165.92
97,23시30분,165.92
98,23시45분,165.92
