,시간,03-17 (일)
0,최대,174.28
1,최소,-50.0
2,평균,85.83
3,00시00분,174.28
4,00시15분,174.2
5,00시30분,174.2
6,00시45분,174.01
7,01시00분,106.51
8,01시15분,106.51
9,01시30분,106.51
10,01시45분,106.51
11,02시00분,95.97
12,02시15분,95.97
13,02시30분,95.97
14,02시45분,95.97
15,03시00분,95.97
16,03시15분,95.97
17,03시30분,95.97
18,03시45분,95.97
19,04시00분,95.97
20,04시15분,95.97
21,04시30분,95.97
22,04시45분,95.97
23,05시00분,128.43
24,05시15분,128.43
25,05시30분,128.43
26,05시45분,128.43
27,06시00분,133.91
28,06시15분,133.91
29,06시30분,133.91
30,06시45분,133.91
31,07시00분,131.52
32,07시15분,131.52
33,07시30분,131.52
34,07시45분,131.52
35,08시00분,99.15
36,08시15분,99.15
37,08시30분,99.15
38,08시45분,99.15
39,09시00분,95.96
40,09시15분,95.96
41,09시30분,95.96
42,09시45분,95.96
43,10시00분,93.07
44,10시15분,93.07
45,10시30분,93.07
46,10시45분,93.07
47,11시00분,105.37
48,11시15분,105.37
49,11시30분,105.37
50,11시45분,0.0
51,12시00분,-34.64
52,12시15분,-50.0
53,12시30분,-50.0
54,12시45분,0.0
55,13시00분,91.76
56,13시15분,91.76
57,13시30분,91.76
58,13시45분,0.0
59,14시00분,0.0
60,14시15분,0.0
61,14시30분,100.21
62,14시45분,100.21
63,15시00분,91.41
64,15시15분,91.41
65,15시30분,91.41
66,15시45분,91.41
67,16시00분,-0.81
68,16시15분,140.88
69,16시30분,140.88
70,16시45분,91.41
71,17시00분,144.2
72,17시15분,144.2
73,17시30분,144.2
74,17시45분,144.2
75,18시00분,-19.0
76,18시15분,-0.53
77,18시30분,0.0
78,18시45분,0.0
79,19시00분,0.0
80,19시15분,0.0
81,19시30분,0.0
82,19시45분,0.0
83,20시00분,0.0
84,20시15분,0.0
85,20시30분,0.0
86,20시45분,0.0
87,21시00분,0.0
88,21시15분,0.0
89,21시30분,0.0
90,21시45분,160.64
91,22시00분,160.6
92,22시15분,160.6
93,22시30분,160.6
94,22시45분,160.6
95,23시00분,160.53
96,23시15분,160.53
97,23시30분,160.53
98,23시45분,0.0
